,02D1,02D2,02G1,02G2,04D1,04D2,04G1,04G2,08D1,08D2,08G1,08G2,09D1,09D2,09G1,09G2,11D1,11D2,11G1,11G2,12D1,12D2,12G1,12G2,16D1,16D2,16G1,16G2,18D1,18D2,18G1,18G2,19G1,19G2,20D1,20D2,20G1,20G2,23D1,23D2,23G1,23G2,24D1,24D2,24G1,24G2,25D1,25D2,25G1,25G2,26D1,26D2,26G1,26G2,28D1,28D2,28G1,28G2,30D1,30D2,30G1,30G2,32D1,32D2,32G1,32G2,33D1,33D2,33G1,33G2,35D1,35D2,35G1,35G2,36D1,36D2,36G1,36G2,37D1,37D2,37G1,37G2,39D1,39D2,39G1,39G2,40D1,40D2,40G1,40G2,41D1,41D2,41G1,41G2
08G1,3.946177665,3.993521104,3.32045407,2.495226616,4.010824503,2.438791514,3.148571057,2.624350822,4.017553343,1.463274908,0,1.697107363,1.898635256,2.352041377,1.520380802,1.37705005,1.409721302,1.433021617,3.136612865,2.515244936,3.944492463,3.231398756,0.77582651,1.273781908,2.774677492,3.064024184,3.790635046,4.087065256,3.170428968,3.627702377,3.573542651,4.967621409,2.092679321,2.205542715,3.690672501,3.74482479,3.401235998,1.695195701,4.047256651,4.705360428,1.703086172,1.650358562,3.536288731,1.777819752,2.155466906,1.726597595,2.259708134,2.805761153,2.127764336,1.798802333,3.108250116,3.280202096,3.995524124,4.367528304,4.04590421,5.320529908,2.925999704,2.973809923,5.602021869,5.374013836,2.070066848,3.606314122,4.380297727,4.948830251,2.364603413,2.745967728,4.855538494,3.597217483,2.076402052,2.551926655,3.458076924,5.212916861,3.2410952,2.519176929,5.35934959,0.121939576,3.213930123,2.784263346,4.998177285,4.699999293,3.242375425,3.090459502,4.556715679,2.164427469,1.303086608,1.649693703,5.346579255,0.121939576,2.007885832,1.817841244,4.62520334,0.792607242,1.524181219,1.427656864
08G2,3.125651161,0.487758303,2.774473527,2.425709681,3.892607769,1.066971287,2.845956921,2.645742263,4.105481814,4.96903771,1.697107363,0,1.837136583,2.263191642,1.351882853,1.608791659,1.571579456,1.114394143,1.991181959,1.348718883,3.458716022,0.274364045,1.277461658,1.194283561,3.205295069,3.524593458,2.571074433,2.768088878,6.67619177,7.133465179,1.940444468,2.930084675,0.510813062,0.63982162,3.703860786,3.799433437,3.229347127,2.162531902,4.056179366,4.610476029,2.452994427,2.441468709,3.379783292,2.039549798,2.15466623,1.867091525,2.817278828,3.273013686,2.854845548,2.743969203,2.912928519,3.710425914,2.24772916,3.033964282,4.019674745,5.15227182,3.228975437,3.34182161,5.644100355,5.361469234,2.903879266,4.086120975,4.762104395,5.23192642,1.472652773,2.015163351,5.084818212,0.091454682,0.924423326,1.498668398,3.626040446,1.70715406,1.962386375,1.456738324,4.562211881,3.383823226,1.672828236,1.304436393,5.009572878,4.370150826,2.319738843,2.215741456,3.807750248,1.341335333,1.07903345,1.909350664,5.425135664,3.627702377,2.140297257,1.138793687,4.818325915,4.298370044,1.082487279,2.076271975
09D1,2.2265181,2.530246196,2.443431974,1.906181573,2.603858568,0.975516606,2.206272362,1.983416303,3.02374408,2.926549817,1.898635256,1.837136583,0,0.68637221,1.896457193,2.257714243,1.539540933,1.24419293,2.381576212,2.01506152,2.326681793,1.768123848,1.821407755,1.904978167,2.373596199,2.469380803,3.063801352,3.255028469,4.633703877,5.090977286,2.754060844,3.959054996,2.151983864,1.901267308,2.148586999,2.348196988,3.052397143,1.428910984,2.447285721,3.203235901,2.046071817,2.260915099,2.371923342,1.575211296,2.225817445,2.187778324,1.493127821,1.621905747,2.256585336,2.255065783,2.531949216,3.355563037,3.699052159,4.172144742,2.866198964,4.20036823,2.575151882,2.505876971,4.924349592,4.701735068,2.290984742,3.008337633,3.437618306,3.973093844,2.055040178,2.194107224,3.427869187,2.133942575,1.546595112,2.578357551,1.84314937,3.749641953,2.511696267,2.216796493,3.916322598,1.341335333,2.314066769,2.094613688,3.793516704,3.436521926,2.013223118,2.245009362,2.831213696,0.70115256,1.631366371,1.638083482,4.17331084,1.585214484,2.768736922,2.050168514,3.847363832,2.255882151,1.983994037,1.636188039
09D2,1.732023237,2.377821726,2.168099733,1.982719297,1.983854288,0.823092136,1.949277731,1.922371841,2.609618223,3.078974287,2.352041377,2.263191642,0.68637221,0,2.546090389,2.893339222,2.170576172,1.860278083,2.5261471,2.390827307,2.020263775,1.615699378,2.382766898,2.533399427,2.527344436,2.356695337,3.263227587,3.326510912,4.786128346,5.243401755,3.009405768,4.336029011,2.583076299,2.341314047,1.864474615,2.250351989,2.590797957,1.374616866,1.958856438,2.684515733,2.178796234,2.482711824,2.421181478,1.717071597,2.611673983,2.72057388,1.610367829,1.240693651,2.168783108,2.302011388,2.46234492,3.528277068,4.026151182,4.597573662,2.30664923,3.617402645,2.713750371,2.545232045,4.350515027,4.14415217,2.317167733,2.634058764,2.857151799,3.35494889,2.255093159,2.235356855,3.123787729,1.981518105,1.891059078,2.973407387,1.310479456,3.597217483,2.724083322,2.461806528,3.31349655,1.493759802,2.327379097,2.263697858,3.319290793,3.000601504,2.147213834,2.602428041,2.338676893,0.548728091,1.944964266,1.58901074,3.532735938,1.737638954,3.273042287,2.625776303,3.28000289,2.40830662,2.566016111,1.826969427
09G1,3.889443083,2.56073109,3.449236821,2.510602567,4.341469214,1.0060015,3.28452601,2.774658559,4.308111515,2.896064923,1.520380802,1.351882853,1.896457193,2.546090389,0,0.522704041,0.500688509,0.843902951,2.50840271,1.621956753,3.599744954,1.798608742,0.843735407,0.389295223,2.98640601,3.491632209,3.024571212,3.468123964,4.603218983,5.060492392,2.551167973,2.985592263,1.438410323,1.450517545,3.434614337,3.250718082,4.302533623,2.434345097,4.186735234,4.910693738,2.464528364,2.307287471,3.101932088,2.156248265,1.687699741,1.064304547,2.617743658,3.24704477,3.066947718,2.866089922,3.293166897,3.613816593,2.999576402,3.212010962,4.568983788,5.891968034,2.865449951,3.088381113,6.488785575,6.20778293,2.886691375,4.250046083,5.104035166,5.716803914,2.084264066,2.578396987,4.487447766,2.164427469,1.542620527,1.717721527,3.484641189,3.780126847,2.493987063,1.992882916,5.513418299,1.310850439,2.810512011,2.246382129,5.15919093,4.691996221,2.565139939,2.035322235,4.422185345,0.731637454,1.581594591,2.473548846,5.873350572,1.55472959,1.47119963,0.682712689,5.553637712,2.225397257,0.515034525,2.042365494
09G2,4.327853466,3.231398756,3.731771011,2.725013265,4.653385387,1.676669166,3.557403649,2.977292513,4.541169327,2.225397257,1.37705005,1.608791659,2.257714243,2.893339222,0.522704041,0,0.828690192,1.241128777,2.865546044,2.001899465,4.064785883,2.469276408,0.739748605,0.494567892,3.222952578,3.752667563,3.379544522,3.836101919,3.932551317,4.389824725,2.97809894,3.436067027,1.719160667,1.835884358,3.852229683,3.668192131,4.445146136,2.571215029,4.52723427,5.231450877,2.468480956,2.241690866,3.433169922,2.298278761,1.785722612,1.060166153,2.826965668,3.503958513,3.100212413,2.845070893,3.571791717,3.740783146,3.289528325,3.455397901,4.817080716,6.130662443,2.977767554,3.217422284,6.638939159,6.356731591,2.887293497,4.386910354,5.311907411,5.943851842,2.338266151,2.841707798,4.895557955,2.835095135,1.915838597,1.926470278,3.867593831,4.450794513,2.869232957,2.266874667,5.873966013,0.640182772,3.204415305,2.617916406,5.454125621,5.030624129,2.975880667,2.442278214,4.85793042,1.402305121,1.708955197,2.595203422,6.142508239,0.884061924,1.293181464,0.961074802,5.7382112,1.55472959,0.713766629,2.098760353
11D1,3.286894138,3.048489393,3.1519609,2.183526488,3.576220938,1.493759802,2.935937827,2.375700394,3.850321317,2.40830662,1.409721302,1.571579456,1.539540933,2.170576172,0.500688509,0.828690192,0,0.743980933,2.364818029,1.548214308,3.291708692,2.286367044,1.239051347,0.926181854,2.983513081,3.48974446,3.040910783,3.447753836,4.11546068,4.572734089,2.406055144,3.345359643,1.854576157,1.578840632,3.193243236,3.150743239,3.768006581,2.037785309,3.46201355,4.090925156,2.147193649,2.00305837,2.712548707,1.802916786,1.359802106,0.869939023,2.084630826,2.644342893,2.720598465,2.586905062,3.049174646,3.63395373,3.122691515,3.498779244,3.873805515,5.06382837,2.492218681,2.698480442,5.526678452,5.269059479,2.528504006,3.80246282,4.675954794,5.327256532,1.924257038,2.341492332,4.568457356,2.652185772,1.396694375,1.737202086,3.123210598,4.26788515,2.453216735,1.84350199,4.680028936,0.823092136,2.542801113,2.101902088,4.52133527,4.070787407,2.214221716,1.906242455,3.721605063,1.219395757,1.363690043,2.156948572,5.433490697,1.066971287,1.437705179,0.868203933,4.742120655,1.737638954,0.670140931,1.628298626
11D2,2.867200209,1.768123848,2.913352879,2.208048778,3.478567282,0.213394257,2.799625215,2.472668324,3.92010342,3.688672165,1.433021617,1.114394143,1.24419293,1.860278083,0.843902951,1.241128777,0.743980933,0,2.213317605,1.474647185,3.056859987,1.0060015,1.296655966,0.992054089,2.651477336,3.095999368,2.731321302,3.059512932,5.395826225,5.853099634,2.180963091,3.162632106,1.473254451,1.060691832,3.155788659,3.231983874,3.501744445,1.985904628,3.423651739,4.062201148,2.238766995,2.261314817,2.954876166,1.828704511,1.965524473,1.582014308,2.078006238,2.62753384,2.709650975,2.537031262,2.711444566,3.323790401,2.837915793,3.293614686,3.784937803,4.949910283,2.86690457,2.965420872,5.437935299,5.209950843,2.662856866,3.87031742,4.523275923,5.047282274,1.773928445,2.224080314,4.620340297,1.371820227,1.107745809,1.840828378,3.051928116,2.987519605,2.180626295,1.829923969,4.46669794,2.103457681,2.069302025,1.757706802,4.612880067,4.088812985,2.121682134,1.990082397,3.494503573,0.060969788,1.264353962,1.966683269,5.277649235,2.347336832,2.051655354,1.011007363,4.489727628,3.018004499,0.944798137,1.857345111
11G1,3.019654115,0.213394257,1.762559841,1.769320674,3.553467664,1.768123848,1.886674581,1.97913491,3.237970137,5.67019027,3.136612865,1.991181959,2.381576212,2.5261471,2.50840271,2.865546044,2.364818029,2.213317605,0,0.944628494,2.477849466,0.975516606,2.711373682,2.694871987,4.048895614,3.902324329,1.354954577,1.46089439,7.37734433,7.834617739,1.241203875,2.257154142,1.865744778,1.760543423,2.859607543,2.712540021,3.680440777,2.587641158,3.780169426,4.23632739,2.735357493,2.746887097,3.332311866,2.086384373,2.32737226,2.583983038,3.727602032,3.509123138,3.07862109,3.25861911,3.529790377,4.858945158,2.020056731,2.757149489,4.215835724,5.096331728,2.562028875,2.700323454,5.803633692,5.458276326,3.057777723,3.649422165,4.472676426,5.028828596,0.917630813,0.928201608,3.3187935,0.609697879,1.177933485,1.356750977,2.752033978,1.0060015,0.641190339,0.980410385,3.891080631,4.084975786,1.266605932,0.719449041,4.355276818,3.636305167,1.242624706,1.228789069,3.507968696,2.042487893,1.961104888,2.535099815,4.793555133,4.328854938,2.634269433,1.960008679,5.289289792,4.999522604,2.221469144,2.607715863
11G2,3.229483712,0.487758303,2.384760428,1.924767849,3.823348602,1.066971287,2.383943957,2.171694346,3.629369772,4.96903771,2.515244936,1.348718883,2.01506152,2.390827307,1.621956753,2.001899465,1.548214308,1.474647185,0.944628494,0,2.68685711,0.274364045,1.958907184,1.823278134,3.529936981,3.628594068,1.76451305,2.085402594,6.67619177,7.133465179,1.181751104,1.950580556,1.178285428,1.105042246,2.846742215,2.618371759,3.898826621,2.428011457,3.887834946,4.486490896,2.582182599,2.504136474,3.00942662,1.973531298,1.761690663,1.803885521,3.247211892,3.334162818,3.062341772,3.117605635,3.229107821,4.290745354,1.935625307,2.533883831,4.343436845,5.456608512,2.57148132,2.789684928,6.142044429,5.810363342,2.974679691,3.896108739,4.763557134,5.355507604,0.9886733,1.403647136,3.553617029,0.091454682,0.661654315,0.777843384,2.891209498,1.70715406,1.041645299,0.761304509,4.511870668,3.383823226,1.574055325,0.859020558,4.566985782,3.895455273,1.497672664,0.980097808,3.721499842,1.341335333,1.535344735,2.392288721,5.241965605,3.627702377,1.957795768,1.086339867,5.454531042,4.298370044,1.346339696,2.261495233
12D1,1.65976923,1.188910863,2.540065673,3.120878633,2.463386676,2.743640453,2.654562946,3.012413909,3.253783631,6.645706876,3.944492463,3.458716022,2.326681793,2.020263775,3.599744954,4.064785883,3.291708692,3.056859987,2.477849466,2.68685711,0,1.951033211,4.098539417,3.885147519,2.923090597,2.630680546,3.148113988,2.914182751,8.352860936,8.810134345,2.907714715,2.442177262,3.669185683,3.166954839,1.082564699,1.4696346,3.879348564,3.002855897,2.508668298,3.050473994,3.824297298,4.027952511,2.619226795,3.186138897,3.47634233,3.745110515,3.000533816,2.468533319,3.811846598,4.080695863,2.262718691,3.766330912,4.095375494,4.435416721,3.7080891,4.533673267,3.882618873,3.819879766,4.881686624,4.777735615,3.987529471,3.836266545,3.854794814,4.152446482,2.815786327,2.701067888,2.107086512,1.585214484,2.45945966,3.328552689,1.29276521,0.030484894,2.657194361,2.731138096,2.967255337,5.060492392,2.507259786,2.878426722,2.807315975,2.086139318,2.917621299,2.810678705,1.557130051,3.018004499,3.091769323,3.008208807,3.84651648,5.304371543,4.278013858,3.458028823,4.076915673,5.97503921,3.50152922,3.332691173
12D2,1.219395757,0.762122348,0.213394257,2.40830662,2.621700878,0.792607242,1.402305121,2.896064923,3.749641953,4.694673665,3.231398756,0.274364045,1.768123848,1.615699378,1.798608742,2.469276408,2.286367044,1.0060015,0.975516606,0.274364045,1.951033211,0,2.743640453,1.981518105,0.274364045,1.127941075,2.499761302,3.475277908,6.401827725,6.859101133,2.56073109,1.768123848,0.914546818,1.097456181,0.091454682,0.182909364,1.890063423,3.078974287,3.26188365,3.810611741,4.024005998,4.359339831,2.743640453,2.865580029,3.139944074,3.048489393,3.597217483,3.444793014,4.145945574,4.237400256,1.432790015,0.670667666,4.024005998,3.932551317,4.359339831,4.81661324,4.633703877,4.694673665,5.609220482,5.578735589,4.81661324,5.060492392,4.176430468,3.139944074,0.15242447,0.335333833,0.823092136,0.365818727,0.030484894,0.030484894,1.036486393,1.981518105,1.737638954,0.060969788,0.030484894,3.10945918,2.621700878,1.402305121,2.713155559,0.731637454,0.457273409,0.213394257,0.579212985,1.066971287,1.55472959,2.194912363,3.018004499,3.353338332,3.200913862,0.975516606,3.780126847,4.024005998,1.432790015,3.719157059
12G1,3.710355707,3.505762802,3.269798367,2.352777032,3.992164842,1.951033211,3.092187994,2.505931908,4.00212527,1.951033211,0.77582651,1.277461658,1.821407755,2.382766898,0.843735407,0.739748605,1.239051347,1.296655966,2.711373682,1.958907184,4.098539417,2.743640453,0,0.631325805,3.539946699,4.027044839,3.41139116,3.770350596,3.658187271,4.11546068,2.793960591,3.990262163,1.527966221,1.684660341,4.056052018,4.105846024,3.415451085,1.887963436,4.032636847,4.571836602,1.910885877,1.72604921,3.162343796,1.770795266,1.566379621,1.017607335,2.505363603,3.155520138,2.465884812,2.254135704,3.505016971,4.030242106,3.184000366,3.83741039,3.846941026,5.054551145,2.69089209,2.858016125,5.549016009,5.242038385,2.310552342,3.779202072,4.677916084,5.309775446,2.050015169,2.495028589,5.488036892,3.10945918,1.668489045,1.954009485,3.904570117,4.725158559,2.821480986,2.045037766,4.969209858,0.365818727,2.741958303,2.221520092,5.10962749,4.668758265,2.616128906,2.507017645,4.248329228,1.676669166,1.1477745,1.902707817,5.52710392,0.609697879,1.387915374,1.161786599,4.834083128,1.280365545,0.81202949,1.433412147
12G2,3.651618058,2.743640453,3.524030241,2.647615059,4.119353329,1.188910863,3.374953775,2.85022954,4.343041686,2.713155559,1.273781908,1.194283561,1.904978167,2.533399427,0.389295223,0.494567892,0.926181854,0.992054089,2.694871987,1.823278134,3.885147519,1.981518105,0.631325805,0,3.263027734,3.845994918,3.291967185,3.685803021,4.420309619,4.877583028,2.519036647,3.185691934,1.393533103,1.411863572,3.857067352,3.850553943,3.810653743,2.334755134,4.067763366,4.676646818,2.438579294,2.273271088,3.098757011,2.185029471,1.697903328,1.039643452,2.459305843,3.19431238,2.999552372,2.792298127,3.310899858,3.761535492,2.945805849,3.481453134,4.13121912,5.381061726,3.007759748,3.211860577,5.905531339,5.620138673,2.849606857,4.231434222,5.065870489,5.668966025,2.19149624,2.68875152,5.281399602,2.347336832,1.642858351,1.867375432,3.820390804,3.96303621,2.721172695,2.077269341,5.112254442,1.127941075,2.652052461,2.161365908,5.133619362,4.641395708,2.571210249,2.336989234,4.174415829,0.914546818,1.495660658,2.339231389,5.856319359,1.371820227,1.514522124,0.926205718,5.09007838,2.042487893,0.576361565,1.922470665
16D1,3.116784896,0.487758303,4.232496505,4.120708437,3.893441393,1.066971287,4.244899267,4.17412331,5.010320381,4.96903771,2.774677492,3.205295069,2.373596199,2.527344436,2.98640601,3.222952578,2.983513081,2.651477336,4.048895614,3.529936981,2.923090597,0.274364045,3.539946699,3.263027734,0,1.091725341,4.526121971,4.573817477,6.67619177,7.133465179,4.01586992,3.606049217,3.57427813,3.154849802,2.840223599,3.133072324,4.295411594,3.130981335,3.747936001,4.512153002,3.882422363,4.058151838,3.569111469,3.607651158,3.833915774,3.521833519,2.232222714,2.682276482,3.954163552,3.801603286,1.438379286,1.002157371,4.76869054,4.99132052,4.501695629,5.686487676,4.859239851,4.81042478,5.727811316,5.733555976,4.154593308,4.890926773,4.854040232,5.033588941,3.710241626,4.026256505,4.222916146,0.091454682,3.029801205,3.928095107,2.993855244,1.70715406,4.015239119,3.685532416,5.095878669,3.383823226,3.552117072,3.748708673,4.487858834,4.095736514,4.226241443,4.064242956,3.538768012,1.341335333,3.02454377,2.9810634,5.532155446,3.627702377,4.177704081,3.319094901,4.27336464,4.298370044,3.106024284,3.312914525
16D2,2.8703325,0.365818727,3.715485645,3.965333717,3.583185317,1.920548317,3.83513476,3.975426016,4.625067117,5.82261474,3.064024184,3.524593458,2.469380803,2.356695337,3.491632209,3.752667563,3.48974446,3.095999368,3.902324329,3.628594068,2.630680546,1.127941075,4.027044839,3.845994918,1.091725341,0,4.382654521,4.272237935,7.5297688,7.987042209,4.216405888,4.731017019,3.914890832,3.482795291,2.720164769,3.153071171,3.961236448,2.951627559,3.634443801,4.298001703,3.780485208,4.055005993,3.878545614,3.496686482,4.12073781,3.958456057,2.706194855,2.704004168,3.679932255,3.615093876,1.319574013,1.594852542,4.97419158,5.179046469,4.403239157,5.379767157,4.871654301,4.738782448,5.221069886,5.288699922,4.01191854,4.504627646,4.259223197,4.288911855,3.562718175,3.766410006,3.93878684,0.762122348,3.046030531,4.058436302,2.708974976,0.85357703,3.901128528,3.653523673,4.615366999,4.237400256,3.484627289,3.825070546,4.193313164,3.79693981,4.356034906,4.219085585,3.33104753,2.194912363,3.018554933,2.69732961,4.854356197,4.481279407,4.5297942,3.65490237,3.762993488,5.151947074,3.494812372,3.35593033
16G1,3.494851518,1.737638954,2.498613387,2.46657474,4.391711479,3.292368544,2.656618497,2.928608464,4.190446294,7.194434967,3.790635046,2.571074433,3.063801352,3.263227587,3.024571212,3.379544522,3.040910783,2.731321302,1.354954577,1.76451305,3.148113988,2.499761302,3.41139116,3.291967185,4.526121971,4.382654521,0,0.720209715,8.901589027,9.358862435,1.62196453,2.657777528,2.382881697,2.134748386,3.810617025,3.723468721,4.573450525,3.525501856,4.50627288,4.927810415,3.467679184,3.557885189,4.356788384,2.899433059,3.405475902,3.453378282,4.525312178,4.422350773,3.854782722,3.878362588,4.2715859,5.326026813,1.699655435,2.039705069,5.097647627,5.788653396,3.337954567,3.422318379,6.588895432,6.299130149,3.841622323,4.543395645,5.182865013,5.598284136,1.864124845,1.955940161,4.310972982,2.133942575,2.02544042,2.142838027,3.666046872,0.518243197,0.804383203,2.149400237,4.524066408,5.609220482,1.763750428,1.589501656,5.481073868,4.756319124,1.771226048,1.730567747,4.236421806,3.566732589,2.844836587,3.441563884,5.545113568,5.853099634,3.406969665,2.471063718,5.891629335,6.5237673,2.865274328,3.625236634
16G2,3.275939517,2.713155559,2.312222832,2.705115908,4.274654027,4.26788515,2.615851351,3.071857859,4.14235651,8.169951572,4.087065256,2.768088878,3.255028469,3.326510912,3.468123964,3.836101919,3.447753836,3.059512932,1.46089439,2.085402594,2.914182751,3.475277908,3.770350596,3.685803021,4.573817477,4.272237935,0.720209715,0,9.877105632,10.33437904,1.749295707,3.298299572,2.597744633,2.371289871,3.720505806,3.706369863,4.359646336,3.632175302,4.513765018,4.89052648,3.702966869,3.839830795,4.508803899,3.118474014,3.731910795,3.850532199,4.703857368,4.474245742,3.972523037,4.062967314,4.136086296,5.358036601,1.865435789,2.447584915,5.047452669,5.661703626,3.676168885,3.706735366,6.410998223,6.133336492,4.046032766,4.552527341,5.064704565,5.398290145,2.019852695,2.003883457,4.106913219,3.10945918,2.232227699,2.46822497,3.56650347,1.493759802,1.055651072,2.297021016,4.17755189,6.584737088,1.503458489,1.609073951,5.318885773,4.536738733,2.055038791,2.190455709,4.024884407,4.542249195,3.035368681,3.486392793,5.307195327,6.82861624,3.84608916,2.917364922,5.743600236,7.499283906,3.260030749,3.831655234
18D1,7.621223482,7.163950073,6.188433467,3.993521104,3.780126847,5.609220482,4.999522604,3.505762802,2.652185772,1.70715406,3.170428968,6.67619177,4.633703877,4.786128346,4.603218983,3.932551317,4.11546068,5.395826225,7.37734433,6.67619177,8.352860936,6.401827725,3.658187271,4.420309619,6.67619177,7.5297688,8.901589027,9.877105632,0,0.457273409,8.962558814,8.169951572,7.316374542,7.499283906,6.310373043,6.218918361,4.511764301,3.322853438,3.139944074,2.591215984,2.377821726,2.042487893,3.658187271,3.536247695,3.26188365,3.353338332,2.804610241,2.957034711,2.255882151,2.164427469,7.834617739,7.072495391,10.42583372,10.33437904,2.042487893,1.585214484,1.768123848,1.70715406,0.792607242,0.823092136,1.585214484,1.341335333,2.225397257,3.26188365,6.249403255,6.066493891,7.224919861,6.767646452,6.432312618,6.432312618,5.365341331,8.38334583,8.139466678,6.462797512,6.371342831,3.292368544,9.023528602,7.804132845,3.688672165,5.67019027,5.944554316,6.188433467,6.981040709,5.334856437,4.847098134,4.206915362,3.383823226,3.048489393,3.200913862,5.426311119,2.621700878,2.377821726,4.96903771,2.682670666
18D2,8.07849689,7.621223482,6.645706876,4.450794513,4.237400256,6.066493891,5.456796013,3.96303621,3.10945918,2.164427469,3.627702377,7.133465179,5.090977286,5.243401755,5.060492392,4.389824725,4.572734089,5.853099634,7.834617739,7.133465179,8.810134345,6.859101133,4.11546068,4.877583028,7.133465179,7.987042209,9.358862435,10.33437904,0.457273409,0,9.419832223,8.627224981,7.773647951,7.956557315,6.767646452,6.67619177,4.96903771,3.780126847,3.597217483,3.048489393,2.835095135,2.499761302,4.11546068,3.993521104,3.719157059,3.810611741,3.26188365,3.41430812,2.713155559,2.621700878,8.291891148,7.5297688,10.88310713,10.79165245,2.499761302,2.042487893,2.225397257,2.164427469,1.249880651,1.280365545,2.042487893,1.798608742,2.682670666,3.719157059,6.706676664,6.5237673,7.682193269,7.224919861,6.889586027,6.889586027,5.82261474,8.840619239,8.596740087,6.920070921,6.82861624,3.749641953,9.480802011,8.261406254,4.145945574,6.127463679,6.401827725,6.645706876,7.438314118,5.792129846,5.304371543,4.664188771,3.841096635,3.505762802,3.658187271,5.883584528,3.078974287,2.835095135,5.426311119,3.139944074
